Grip Name,20mm moon
Assessment Date,2026-09-11 13:20:42
Body Weight,65.0,kg

Hand,Critical Force,Max Force,W' (Work Prime),Unit
"Left",18.673802819893275,39.322653329613686,762.5901463956956,"kg"

Hand,Weight,Weight Unit,Timestamp Ms,Relative Ms
"Left",5.685163941452262,"kg",1789125390505,2167
"Left",5.732371008123015,"kg",1789125390517,2179
"Left",5.790541702925797,"kg",1789125390529,2191
"Left",5.832040416755613,"kg",1789125390542,2204
"Left",5.865973313290388,"kg",1789125390554,2216
"Left",6.028389067581311,"kg",1789125390566,2228
"Left",6.202176109695555,"kg",1789125390578,2240
"Left",6.2651036713501975,"kg",1789125390590,2252
"Left",6.315210131541274,"kg",1789125390602,2264
"Left",6.365044760252004,"kg",1789125390615,2277
"Left",6.385794085682775,"kg",1789125390627,2289
"Left",6.399566563120588,"kg",1789125390639,2301
"Left",6.507345244292678,"kg",1789125390651,2313
"Left",6.698257058958065,"kg",1789125390663,2325
"Left",6.831451301624952,"kg",1789125390675,2337
"Left",7.007186099887859,"kg",1789125390687,2349
"Left",7.235790755908363,"kg",1789125390700,2362
"Left",7.389643542753822,"kg",1789125390712,2374
"Left",7.507660747232443,"kg",1789125390724,2386
"Left",7.577610282467275,"kg",1789125390736,2398
"Left",7.5977253030221785,"kg",1789125390748,2410
"Left",7.65213552486413,"kg",1789125390760,2422
"Left",7.699614216589292,"kg",1789125390773,2435
"Left",7.738938169067971,"kg",1789125390785,2447
"Left",7.67170689431663,"kg",1789125390797,2459
"Left",7.585085459088168,"kg",1789125390809,2471
"Left",7.518579036534342,"kg",1789125390821,2483
"Left",7.39680159259569,"kg",1789125390833,2495
"Left",7.452027303669961,"kg",1789125390846,2508
"Left",7.532532700627039,"kg",1789125390858,2520
"Left",7.657164279561707,"kg",1789125390870,2532
"Left",7.84531216960152,"kg",1789125390882,2544
"Left",7.996084155972007,"kg",1789125390894,2556
"Left",8.17476342880049,"kg",1789125390906,2568
"Left",8.290379414772469,"kg",1789125390918,2580
"Left",8.395077111768881,"kg",1789125390931,2593
"Left",8.554184979808166,"kg",1789125390943,2605
"Left",8.692588881477231,"kg",1789125390955,2617
"Left",8.826462370946459,"kg",1789125390967,2629
"Left",8.96087950512493,"kg",1789125390979,2641
"Left",9.082430285789806,"kg",1789125390991,2653
"Left",9.159084747519227,"kg",1789125391004,2666
"Left",9.224277283585382,"kg",1789125391016,2678
"Left",9.230348027067176,"kg",1789125391028,2690
"Left",9.228082824274907,"kg",1789125391040,2702
"Left",9.173446133119304,"kg",1789125391052,2714
"Left",9.11808457735374,"kg",1789125391064,2726
"Left",9.058056704018973,"kg",1789125391077,2739
"Left",8.96735798507116,"kg",1789125391089,2751
"Left",8.896502441895434,"kg",1789125391101,2763
"Left",8.806891018469937,"kg",1789125391113,2775
"Left",8.726974661503768,"kg",1789125391125,2787
"Left",8.66060421616297,"kg",1789125391137,2799
"Left",8.579781774009176,"kg",1789125391149,2811
"Left",8.509379263196234,"kg",1789125391162,2824
"Left",8.471097330605984,"kg",1789125391174,2836
"Left",8.465071890257343,"kg",1789125391186,2848
"Left",8.459861923022574,"kg",1789125391198,2860
"Left",8.467790134026057,"kg",1789125391210,2872
"Left",8.432226444393903,"kg",1789125391222,2884
"Left",8.352310074140041,"kg",1789125391235,2897
"Left",8.308863474315691,"kg",1789125391247,2909
"Left",8.250693050814409,"kg",1789125391259,2921
"Left",8.187992217686048,"kg",1789125391271,2933
"Left",8.111881375550327,"kg",1789125391283,2945
"Left",8.115324485180714,"kg",1789125391295,2957
"Left",8.24833723921929,"kg",1789125391308,2970
"Left",8.499004633019402,"kg",1789125391320,2982
"Left",8.875889096399696,"kg",1789125391332,2994
"Left",9.389455873656164,"kg",1789125391344,3006
"Left",9.940806321271392,"kg",1789125391356,3018
"Left",10.487626598009602,"kg",1789125391368,3030
"Left",11.254398873240582,"kg",1789125391380,3042
"Left",12.324665493727231,"kg",1789125391393,3055
"Left",13.464115364970485,"kg",1789125391405,3067
"Left",14.906160584896515,"kg",1789125391417,3079
"Left",16.477562983049417,"kg",1789125391429,3091
"Left",18.16442087457841,"kg",1789125391441,3103
"Left",19.787918438121842,"kg",1789125391453,3115
"Left",21.500379504168137,"kg",1789125391466,3128
"Left",23.221300767034414,"kg",1789125391478,3140
"Left",24.589619177928263,"kg",1789125391490,3152
"Left",25.786828583697513,"kg",1789125391502,3164
"Left",26.72293507879069,"kg",1789125391514,3176
"Left",27.53540161199355,"kg",1789125391526,3188
"Left",28.322006187663973,"kg",1789125391539,3201
"Left",29.0699248446626,"kg",1789125391551,3213
"Left",29.772540754133907,"kg",1789125391563,3225
"Left",30.467009460303984,"kg",1789125391575,3237
"Left",30.97443151582027,"kg",1789125391587,3249
"Left",31.15151838151764,"kg",1789125391599,3261
"Left",31.18532264927238,"kg",1789125391611,3273
"Left",31.229277294220626,"kg",1789125391624,3286
"Left",31.231316428169443,"kg",1789125391636,3298
"Left",31.23122579999226,"kg",1789125391648,3310
"Left",31.18573047569792,"kg",1789125391660,3322
"Left",31.208160934208603,"kg",1789125391672,3334
"Left",31.35597564156125,"kg",1789125391684,3346
"Left",31.686271959209115,"kg",1789125391697,3359
